iter	Logloss
0	0.6787961389
1	0.6664917812
2	0.653982031
3	0.6420001229
4	0.6298795125
5	0.6180739808
6	0.6052833361
7	0.5935346495
8	0.5814178773
9	0.57127304
10	0.5618209888
11	0.5511707043
12	0.5418271468
13	0.5322701229
14	0.5231045479
15	0.513885816
16	0.5052877695
17	0.4964164859
18	0.488860003
19	0.4804495133
20	0.4732409793
21	0.464537333
22	0.4552244147
23	0.4486949226
24	0.4405155693
25	0.4318436135
26	0.4244249201
27	0.4176381296
28	0.4100851594
29	0.4027134599
30	0.3952807777
31	0.3900442797
32	0.3848180469
33	0.3800362411
34	0.3734024866
35	0.3665815064
36	0.3598390358
37	0.3548827429
38	0.3488707645
39	0.3439538376
40	0.3382797256
41	0.3329878507
42	0.3277597191
43	0.3235105253
44	0.3188804629
45	0.3142075241
46	0.3100649563
47	0.3046993637
48	0.3008219804
49	0.2973606144
50	0.293285967
51	0.2890456022
52	0.2849416404
53	0.2809818562
54	0.2771215613
55	0.2729547076
56	0.2688478097
57	0.2657079556
58	0.2617229366
59	0.2580076485
60	0.2538876571
61	0.250171006
62	0.2468663678
63	0.24325962
64	0.2395829769
65	0.2367630334
66	0.2330046846
67	0.2303493295
68	0.2273163161
69	0.2246232213
70	0.2213656969
71	0.2188321595
72	0.2158728584
73	0.2133029498
74	0.2104097251
75	0.2081474929
76	0.2052216978
77	0.2024079385
78	0.199833202
79	0.1977952174
80	0.1951301481
81	0.1929297397
82	0.1906366099
83	0.1886526185
84	0.1861541741
85	0.1841524565
86	0.1823020195
87	0.1802105849
88	0.1781230136
89	0.176408298
90	0.1741951354
91	0.1722757766
92	0.1702142713
93	0.1683821963
94	0.1667731923
95	0.1649359002
96	0.1634499842
97	0.161741258
98	0.1599344382
99	0.1585667456
100	0.1570592819
101	0.155556225
102	0.154156798
103	0.1524502938
104	0.150938549
105	0.1494535424
106	0.1478457363
107	0.1464970313
108	0.1451631368
109	0.1438585459
110	0.1425761049
111	0.1412079003
112	0.140057912
113	0.1384751063
114	0.1369169052
115	0.1359383545
116	0.1348666814
117	0.1337476594
118	0.1324093187
119	0.1313183379
120	0.130329544
121	0.128754651
122	0.1278219847
123	0.1266970903
124	0.125739683
125	0.1247955839
126	0.1239005342
127	0.1228957377
128	0.1217426047
129	0.1205487796
130	0.1194753291
131	0.1185580984
132	0.1175150846
133	0.1165244382
134	0.115357919
135	0.1145385041
136	0.1136767097
137	0.1128808459
138	0.1119332003
139	0.1111769207
140	0.1101502987
141	0.1094552607
142	0.108513411
143	0.1076490154
144	0.1069020571
145	0.1059313885
146	0.1051003866
147	0.1043235087
148	0.1037362908
149	0.1029715752
150	0.1021440574
151	0.1015915326
152	0.1009669907
153	0.100328815
154	0.09937378183
155	0.09866668009
156	0.09803799292
157	0.09733920944
158	0.09667037619
159	0.09609072238
160	0.09552914145
161	0.09472068374
162	0.0942988601
163	0.09380428276
164	0.09309390056
165	0.09251289292
166	0.09195836986
167	0.09126908289
168	0.09072648075
169	0.09022828481
170	0.08954048408
171	0.08864051931
172	0.08805443365
173	0.08750834323
174	0.08695912948
175	0.08636305118
176	0.08569056833
177	0.08502673516
178	0.08435605783
179	0.08383681024
180	0.08353909122
181	0.08311445139
182	0.08256594703
183	0.08205543712
184	0.08141208784
185	0.08101439141
186	0.08048050852
187	0.08006549091
188	0.07949863838
189	0.07886644072
190	0.07840156178
191	0.07796448982
192	0.07763398888
193	0.07724759868
194	0.07685994348
195	0.07647003021
196	0.07590098498
197	0.07536023111
198	0.07494823962
199	0.07452630745
200	0.07419107124
201	0.07382457621
202	0.07336209193
203	0.07300570225
204	0.07270258424
205	0.07240977061
206	0.07189203189
207	0.07156864495
208	0.07128321559
209	0.07094989971
210	0.07051869436
211	0.07009134645
212	0.06970560907
213	0.06929005177
214	0.06881967999
215	0.06837257685
216	0.06792759937
217	0.06750481284
218	0.06711650691
219	0.06676322379
220	0.06655795922
221	0.06618343254
222	0.06592686817
223	0.06560722051
224	0.0651632671
225	0.06481658051
226	0.0644748919
227	0.06413953376
228	0.06378968529
229	0.06356890801
230	0.06314593292
231	0.06291328876
232	0.06260626723
233	0.0623906966
234	0.06205943808
235	0.06178994045
236	0.06157772738
237	0.06124362292
238	0.06086423317
239	0.06047238197
240	0.06027604239
241	0.0600727916
242	0.05983277658
243	0.05962045708
244	0.05939597363
245	0.05912204032
246	0.05888625482
247	0.05865268255
248	0.05836648597
249	0.05815159918
250	0.05800903283
251	0.05774679963
252	0.0574436657
253	0.05717338158
254	0.0568664627
255	0.05655719568
256	0.05632918413
257	0.05616041353
258	0.05590470436
259	0.05569103481
260	0.05543658687
261	0.05518393944
262	0.05489522669
263	0.05473994664
264	0.05454440109
265	0.05427989474
266	0.05402931891
267	0.0536765495
268	0.05345388456
269	0.05320424816
270	0.05294635049
271	0.05269559197
272	0.05252649285
273	0.05233768336
274	0.05215590323
275	0.05179881337
276	0.05161689245
277	0.05142017199
278	0.05120921219
279	0.05088442197
280	0.05074920512
281	0.05053519281
282	0.05038789496
283	0.05003866244
284	0.04989525891
285	0.04966432935
286	0.04944914045
287	0.04923520482
288	0.04904516384
289	0.0488742173
290	0.04864037686
291	0.04846021035
292	0.04823533848
293	0.04802355238
294	0.04781599665
295	0.04759133847
296	0.04738962965
297	0.04717378499
298	0.04696262323
299	0.04670347271
300	0.04650157365
301	0.04637402265
302	0.04628184307
303	0.04612925853
304	0.04593522687
305	0.04578552766
306	0.04555352669
307	0.04539331024
308	0.04523984242
309	0.04509174803
310	0.04492902253
311	0.0448211157
312	0.04470655244
313	0.04448316889
314	0.04433551195
315	0.04423128825
316	0.04403826139
317	0.04382984332
318	0.04373242273
319	0.04361878715
320	0.04338753789
321	0.04326609442
322	0.04308257245
323	0.04286534673
324	0.04266781044
325	0.04252289133
326	0.04239318157
327	0.04222472481
328	0.04210422999
329	0.04197033177
330	0.04179858323
331	0.04169408383
332	0.04153401571
333	0.04138806415
334	0.04125789599
335	0.04112641212
336	0.04101283018
337	0.04089926752
338	0.04074764336
339	0.04056642931
340	0.04042067804
341	0.04032094282
342	0.0401847174
343	0.04000284466
344	0.039773279
345	0.03965440576
346	0.03954252334
347	0.03932952546
348	0.03923010868
