feature,shap_value
s5,24.10122291153332
bmi,20.591852362649746
bp,9.087332671390705
sex,7.691608456118578
s4,6.350090390549561
s3,5.509035308036113
s6,4.755409708997558
age,3.5876240994106023
s2,2.4993656563478535
s1,2.29981569662039
